person_home_ownership,person_income,loan_int_rate
MORTGAGE,152000,8.49
MORTGAGE,140004,12.98
MORTGAGE,153000,11.99
MORTGAGE,153000,14.79
OWN,18000,14.22
OWN,153000,10.74
MORTGAGE,153000,12.84
MORTGAGE,153660,7.9
OWN,154000,6.92
MORTGAGE,154000,10.37
MORTGAGE,154000,11.83
OWN,155000,12.42
RENT,75000,21.74
MORTGAGE,143000,16.49
MORTGAGE,155000,5.42
MORTGAGE,143000,17.93
OWN,18000,8.0
MORTGAGE,155000,
RENT,50000,10.25
MORTGAGE,155004,8.49
MORTGAGE,155867,12.84
MORTGAGE,156000,
MORTGAGE,156000,7.49
MORTGAGE,156000,9.63
MORTGAGE,156000,6.54
MORTGAGE,156000,14.61
MORTGAGE,156600,10.62
MORTGAGE,157000,7.49
OWN,157000,13.92
OWN,157500,12.87
MORTGAGE,157544,12.99
MORTGAGE,145656,10.37
MORTGAGE,158000,7.9
MORTGAGE,158000,12.42
RENT,111000,10.91
OWN,158000,8.49
OWN,158000,9.63
OWN,158000,6.54
MORTGAGE,158367,6.62
MORTGAGE,159000,11.86
MORTGAGE,159600,
OWN,159996,11.86
RENT,38000,12.41
MORTGAGE,160000,9.91
MORTGAGE,148000,12.99
MORTGAGE,160000,13.49
MORTGAGE,160000,10.99
MORTGAGE,160000,6.91
MORTGAGE,160000,13.98
RENT,68324,12.84
MORTGAGE,160000,10.75
MORTGAGE,160000,7.88
RENT,90000,12.69
MORTGAGE,160000,10.99
MORTGAGE,160000,7.88
RENT,100000,17.88
OWN,160000,11.83
OWN,160000,11.83
MORTGAGE,148000,14.62
MORTGAGE,160000,
MORTGAGE,162480,12.42
RENT,55000,14.72
MORTGAGE,151000,14.74
MORTGAGE,163232,11.71
MORTGAGE,165000,12.42
MORTGAGE,165000,6.03
MORTGAGE,165000,6.62
RENT,72000,13.04
MORTGAGE,165000,11.49
MORTGAGE,130050,14.61
MORTGAGE,153000,14.74
MORTGAGE,165000,11.26
MORTGAGE,166000,
RENT,80000,7.49
MORTGAGE,168000,13.06
MORTGAGE,168000,9.25
OWN,168000,
RENT,74000,13.11
MORTGAGE,170000,7.9
MORTGAGE,170000,12.42
RENT,62900,14.96
RENT,74000,13.79
MORTGAGE,170000,18.99
MORTGAGE,158000,16.32
MORTGAGE,170000,
MORTGAGE,170000,
MORTGAGE,170000,
RENT,84000,12.21
MORTGAGE,170000,10.62
OWN,170000,14.26
MORTGAGE,172000,
MORTGAGE,172000,9.63
RENT,85000,11.34
MORTGAGE,173088,13.79
MORTGAGE,163000,10.65
MORTGAGE,175000,7.49
MORTGAGE,175000,
RENT,90000,12.42
MORTGAGE,175000,10.74
MORTGAGE,175000,
RENT,90000,12.68
RENT,90000,8.88
MORTGAGE,175000,7.51
MORTGAGE,175000,10.75
MORTGAGE,175000,7.14
MORTGAGE,175000,
MORTGAGE,175000,
OWN,175000,12.73
MORTGAGE,163400,18.39
MORTGAGE,176000,10.25
MORTGAGE,164000,14.42
MORTGAGE,176600,
MORTGAGE,176608,13.16
RENT,70550,17.49
MORTGAGE,178650,6.99
MORTGAGE,179000,14.27
MORTGAGE,180000,6.03
MORTGAGE,180000,6.62
MORTGAGE,180000,10.65
MORTGAGE,180000,
MORTGAGE,180000,
MORTGAGE,180000,12.99
MORTGAGE,180000,13.23
RENT,100000,11.11
MORTGAGE,180000,
MORTGAGE,182004,6.62
MORTGAGE,170496,11.83
MORTGAGE,182500,12.84
RENT,101000,6.17
RENT,105000,
MORTGAGE,185000,
RENT,107000,13.49
MORTGAGE,189000,14.84
MORTGAGE,189000,16.35
RENT,110000,15.27
MORTGAGE,193086,10.59
MORTGAGE,195000,14.27
MORTGAGE,195000,6.92
RENT,110000,
MORTGAGE,198171,5.79
MORTGAGE,199000,9.32
MORTGAGE,200000,6.03
MORTGAGE,200000,9.63
MORTGAGE,200000,
RENT,108000,
MORTGAGE,200000,13.11
MORTGAGE,200000,7.88
MORTGAGE,200000,7.88
OWN,200000,10.99
OWN,200000,
OWN,200000,12.18
MORTGAGE,188000,10.71
MORTGAGE,200000,9.76
MORTGAGE,200000,
RENT,130000,6.03
RENT,130000,
MORTGAGE,201000,14.27
OWN,201000,
MORTGAGE,201000,11.12
MORTGAGE,201000,11.83
MORTGAGE,192000,17.58
OWN,204000,11.12
MORTGAGE,195000,14.26
MORTGAGE,210000,9.91
MORTGAGE,210000,12.42
RENT,170000,5.79
RENT,200000,12.69
RENT,200000,10.91
MORTGAGE,215000,10.99
RENT,300000,11.58
MORTGAGE,220000,20.3
MORTGAGE,220000,11.99
MORTGAGE,220000,6.99
MORTGAGE,220000,12.99
MORTGAGE,220000,10.37
MORTGAGE,222000,8.49
MORTGAGE,225000,7.49
RENT,572400,9.76
MORTGAGE,213000,16.77
MORTGAGE,225000,13.35
MORTGAGE,225000,7.88
RENT,35576,13.72
MORTGAGE,225000,11.12
MORTGAGE,228000,15.33
MORTGAGE,228000,7.14
MORTGAGE,185300,
MORTGAGE,230000,13.98
MORTGAGE,218000,19.04
MORTGAGE,230000,10.95
MORTGAGE,234600,15.05
MORTGAGE,235000,15.96
MORTGAGE,235000,10.62
RENT,60000,7.88
OWN,235000,15.65
MORTGAGE,223800,11.83
MORTGAGE,191250,16.95
MORTGAGE,237000,9.2
MORTGAGE,240000,6.03
OWN,240000,13.16
OWN,242400,10.37
RENT,79636,13.87
OTHER,244000,14.42
MORTGAGE,245000,17.39
MORTGAGE,249996,12.99
MORTGAGE,249999,6.62
MORTGAGE,250000,7.49
OWN,250000,15.99
MORTGAGE,250000,14.09
MORTGAGE,250000,11.48
MORTGAGE,250000,13.79
RENT,82000,9.99
MORTGAGE,250000,9.01
RENT,75500,16.77
MORTGAGE,262000,9.91
MORTGAGE,264000,
MORTGAGE,253000,14.96
MORTGAGE,265000,11.26
MORTGAGE,266000,5.42
MORTGAGE,275000,11.71
MORTGAGE,275000,10.59
RENT,90000,6.99
MORTGAGE,275000,
MORTGAGE,275004,16.32
RENT,95000,11.89
MORTGAGE,290000,10.99
MORTGAGE,290000,9.99
MORTGAGE,294000,8.94
OWN,300000,10.59
MORTGAGE,300000,15.23
MORTGAGE,300000,15.23
MORTGAGE,288000,22.48
MORTGAGE,300000,15.23
MORTGAGE,300000,
MORTGAGE,300000,6.92
MORTGAGE,300000,12.87
MORTGAGE,300000,9.63
MORTGAGE,300000,11.58
OWN,300000,14.42
MORTGAGE,310000,
MORTGAGE,320000,7.9
MORTGAGE,320000,7.91
MORTGAGE,325000,5.99
MORTGAGE,270300,17.88
MORTGAGE,273700,14.59
MORTGAGE,350000,7.51
MORTGAGE,357000,18.64
MORTGAGE,371000,7.74
OWN,372000,10.99
MORTGAGE,385000,7.9
MORTGAGE,410000,10.37
MORTGAGE,415000,16.45
MORTGAGE,420000,12.73
MORTGAGE,445000,9.62
MORTGAGE,450000,15.37
MORTGAGE,480000,5.42
MORTGAGE,397800,14.61
MORTGAGE,522000,7.43
OWN,10080,6.03
RENT,71000,16.07
RENT,83300,17.19
MORTGAGE,604000,9.01
MORTGAGE,741600,10.25
MORTGAGE,750000,9.91
OWN,762000,8.94
RENT,9600,12.69
RENT,9600,5.99
RENT,9600,12.73
RENT,9081,10.25
RENT,8500,8.63
RENT,8472,7.49
OWN,8412,7.14
RENT,8000,11.12
RENT,8000,
RENT,7200,9.91
RENT,6000,8.59
RENT,4200,12.73
MORTGAGE,64000,6.62
MORTGAGE,150000,
RENT,42504,10.59
MORTGAGE,120000,15.83
RENT,62000,7.9
RENT,41004,15.28
MORTGAGE,60000,
MORTGAGE,46000,11.49
RENT,155000,7.14
RENT,45996,11.58
RENT,35000,5.42
MORTGAGE,40000,9.91
MORTGAGE,50402,13.22
RENT,25000,6.92
OWN,50000,9.91
RENT,21340,11.14
RENT,32004,11.49
MORTGAGE,97750,14.59
OWN,23000,
RENT,68000,10.65
MORTGAGE,50000,7.74
RENT,21600,11.71
MORTGAGE,50000,6.39
RENT,65000,15.2
RENT,28800,14.96
MORTGAGE,72000,11.89
MORTGAGE,45000,14.65
MORTGAGE,39000,18.79
RENT,56000,14.27
RENT,75000,7.29
RENT,60682,8.49
MORTGAGE,45600,7.88
RENT,52000,10.37
MORTGAGE,56628,8.94
RENT,46000,16.29
RENT,69000,15.21
RENT,51000,10.59
RENT,50000,14.96
OWN,44000,13.43
RENT,30000,9.91
MORTGAGE,80000,6.54
RENT,58000,9.91
OWN,110000,13.57
MORTGAGE,42000,6.76
RENT,22000,
MORTGAGE,82000,10.36
RENT,50004,15.65
MORTGAGE,67000,7.14
RENT,45000,9.91
MORTGAGE,46800,9.99
MORTGAGE,231252,9.91
MORTGAGE,38196,10.75
RENT,32568,
MORTGAGE,120000,7.14
OWN,66000,
RENT,77800,12.42
RENT,68000,7.49
MORTGAGE,52000,15.65
MORTGAGE,55000,10.38
MORTGAGE,75000,11.99
MORTGAGE,62475,14.61
MORTGAGE,240000,14.91
OWN,40000,7.66
RENT,47000,10.99
MORTGAGE,116000,13.36
MORTGAGE,61000,7.9
MORTGAGE,58000,
RENT,35600,13.49
RENT,34000,14.72
RENT,34000,5.42
MORTGAGE,95000,7.88
RENT,117000,10.65
MORTGAGE,61000,10.37
MORTGAGE,60000,13.11
MORTGAGE,95000,8.94
MORTGAGE,60000,16.07
MORTGAGE,72250,16.0
RENT,31000,11.49
MORTGAGE,55000,
MORTGAGE,72000,14.17
MORTGAGE,156000,6.54
MORTGAGE,280000,12.99
RENT,60000,5.99
RENT,80000,8.88
RENT,33996,15.31
RENT,52000,11.48
RENT,30000,10.95
MORTGAGE,201000,11.12
RENT,59000,12.68
MORTGAGE,84000,11.83
MORTGAGE,54000,12.53
OWN,100000,6.92
MORTGAGE,64900,15.37
RENT,85500,15.99
MORTGAGE,120000,8.9
RENT,60000,6.54
RENT,31500,12.84
MORTGAGE,260000,13.57
OWN,40000,12.68
RENT,50000,13.23
RENT,74400,15.27
MORTGAGE,139008,13.47
OWN,14400,14.79
RENT,40000,
MORTGAGE,52000,10.36
MORTGAGE,56525,15.95
MORTGAGE,101000,7.49
RENT,43218,14.65
RENT,75000,12.68
MORTGAGE,122004,8.59
MORTGAGE,82000,7.51
RENT,33000,14.65
RENT,30000,9.99
RENT,148750,7.9
MORTGAGE,104000,10.65
OWN,39996,12.53
RENT,50000,16.89
RENT,40000,11.11
RENT,25200,14.27
RENT,80000,10.99
RENT,42000,11.99
RENT,48000,10.65
RENT,65000,16.49
MORTGAGE,70000,6.99
RENT,42996,15.96
MORTGAGE,60000,6.03
OWN,24000,11.14
MORTGAGE,99000,7.14
MORTGAGE,207182,10.62
RENT,78500,8.59
MORTGAGE,65000,13.61
MORTGAGE,71000,11.49
MORTGAGE,99000,10.25
MORTGAGE,225000,
RENT,25000,11.11
RENT,56400,11.49
MORTGAGE,67992,7.43
MORTGAGE,140000,7.51
MORTGAGE,90000,8.94
RENT,99000,12.99
MORTGAGE,50000,9.88
RENT,85000,7.51
OWN,15000,9.32
RENT,29152,10.36
MORTGAGE,66500,
RENT,42000,14.61
RENT,64900,7.66
MORTGAGE,47380,13.79
RENT,44000,16.0
RENT,83300,16.0
RENT,50725,13.16
RENT,37440,10.99
MORTGAGE,65000,5.42
RENT,43288,10.74
RENT,120000,7.51
RENT,77250,9.2
RENT,71000,8.9
RENT,73000,14.35
MORTGAGE,168000,9.25
RENT,53004,13.04
RENT,101000,10.75
RENT,50000,15.62
MORTGAGE,110000,8.07
RENT,24000,12.87
MORTGAGE,151800,12.72
RENT,63504,10.0
RENT,67000,13.23
RENT,21600,
MORTGAGE,49200,5.42
MORTGAGE,80400,7.14
RENT,101500,12.18
OWN,51996,14.09
OWN,31000,7.4
RENT,49000,9.91
MORTGAGE,64000,13.23
RENT,63000,15.33
RENT,64000,14.22
RENT,31000,10.74
RENT,84000,
MORTGAGE,30720,7.49
OWN,45000,6.03
MORTGAGE,94000,9.88
MORTGAGE,50000,6.62
MORTGAGE,110000,
MORTGAGE,38400,9.91
MORTGAGE,30000,
RENT,140000,9.91
MORTGAGE,275000,13.85
OWN,28000,9.99
RENT,25200,14.46
RENT,59363,13.22
RENT,32000,16.77
RENT,49600,
MORTGAGE,92300,17.93
MORTGAGE,98000,8.88
OWN,32004,8.0
RENT,40000,7.14
MORTGAGE,85000,10.78
RENT,75000,10.74
MORTGAGE,55000,7.49
RENT,71400,11.12
RENT,82863,
RENT,61000,14.96
RENT,190000,6.91
MORTGAGE,102000,12.84
RENT,84000,5.79
OWN,18720,13.16
MORTGAGE,82500,7.49
RENT,18000,12.69
MORTGAGE,130500,15.33
RENT,105000,15.65
RENT,55000,12.53
RENT,19200,10.37
MORTGAGE,65007,18.62
RENT,21600,14.35
MORTGAGE,101400,9.32
MORTGAGE,55000,7.49
RENT,10800,14.72
RENT,48000,7.49
OWN,44630,10.99
RENT,71000,11.12
MORTGAGE,106000,11.71
MORTGAGE,130000,17.56
MORTGAGE,72500,11.99
MORTGAGE,125000,7.43
MORTGAGE,165000,11.49
RENT,125004,15.68
MORTGAGE,103000,7.29
RENT,25200,7.91
MORTGAGE,43500,12.69
RENT,30000,10.37
RENT,66000,11.36
MORTGAGE,225000,16.95
MORTGAGE,85000,12.21
MORTGAGE,54000,15.23
RENT,42996,7.88
MORTGAGE,50000,6.76
OWN,31200,18.09
MORTGAGE,55000,10.99
RENT,43000,12.42
MORTGAGE,11029,10.78
RENT,100000,12.42
RENT,40000,9.99
MORTGAGE,98056,8.88
MORTGAGE,54000,7.49
MORTGAGE,140000,7.88
RENT,42000,13.57
MORTGAGE,44500,9.45
RENT,116400,10.0
MORTGAGE,40000,11.86
RENT,59000,7.88
MORTGAGE,71000,7.14
RENT,42000,11.11
OWN,75000,7.51
RENT,104000,7.29
RENT,20000,10.99
MORTGAGE,48000,11.97
RENT,32000,13.57
MORTGAGE,54000,7.29
MORTGAGE,95000,13.48
MORTGAGE,70000,6.99
OWN,40000,9.32
RENT,57500,
MORTGAGE,37000,12.73
MORTGAGE,55000,10.65
RENT,40000,9.88
RENT,27180,7.14
RENT,36000,14.42
MORTGAGE,72000,6.62
RENT,26000,7.9
MORTGAGE,75000,
RENT,103000,14.65
MORTGAGE,65200,8.0
MORTGAGE,47300,7.88
MORTGAGE,86000,5.99
OWN,51000,17.74
MORTGAGE,56700,
OWN,44500,7.51
MORTGAGE,62000,6.39
MORTGAGE,66000,9.91
RENT,114000,10.37
OWN,81120,10.75
MORTGAGE,66000,13.49
RENT,92000,13.72
MORTGAGE,50000,
MORTGAGE,72000,5.42
OWN,160000,11.83
RENT,76000,13.49
MORTGAGE,85000,6.03
RENT,100000,12.42
MORTGAGE,70000,8.9
MORTGAGE,45600,8.94
MORTGAGE,62000,11.71
RENT,78996,7.51
RENT,46000,7.51
RENT,64000,15.27
MORTGAGE,157544,12.99
OWN,34000,10.59
RENT,71000,13.16
MORTGAGE,36000,11.83
RENT,50000,19.04
RENT,25000,13.48
MORTGAGE,55000,13.49
MORTGAGE,110000,5.79
RENT,42000,14.96
MORTGAGE,31000,14.42
MORTGAGE,114132,14.54
MORTGAGE,56000,7.14
RENT,90000,13.22
RENT,61000,10.39
RENT,38500,11.48
RENT,60000,6.99
RENT,68736,16.29
MORTGAGE,68000,7.88
MORTGAGE,100970,11.99
RENT,35142,11.11
MORTGAGE,103992,10.99
MORTGAGE,120000,8.9
RENT,41000,18.64
RENT,73992,9.96
RENT,20400,6.91
RENT,28800,21.36
OWN,35000,12.99
MORTGAGE,73000,
RENT,15600,10.65
RENT,27000,13.11
MORTGAGE,70000,11.86
MORTGAGE,35000,10.99
RENT,170000,12.42
RENT,34000,
RENT,51000,12.69
MORTGAGE,263004,16.32
OWN,17676,14.74
OWN,86500,13.57
OWN,209000,14.84
RENT,102000,13.85
MORTGAGE,80000,11.11
RENT,80000,7.49
MORTGAGE,68000,11.78
MORTGAGE,44400,14.22
RENT,20000,10.37
MORTGAGE,72000,6.99
MORTGAGE,102540,7.9
RENT,42000,11.83
MORTGAGE,175000,
RENT,53000,6.03
OWN,762000,8.94
RENT,112000,12.69
MORTGAGE,91800,15.95
MORTGAGE,60000,20.16
MORTGAGE,108000,6.91
MORTGAGE,130000,8.59
RENT,108000,15.31
MORTGAGE,30000,6.76
OWN,33600,16.02
MORTGAGE,82000,12.98
RENT,50800,16.4
RENT,25000,8.49
RENT,30996,14.91
RENT,19000,6.62
OWN,50000,12.12
OWN,98000,10.99
MORTGAGE,75400,7.74
RENT,36000,11.11
RENT,56400,11.48
RENT,92500,7.66
RENT,124100,12.99
MORTGAGE,48000,11.71
MORTGAGE,108000,10.99
MORTGAGE,91800,
MORTGAGE,45000,7.49
RENT,35000,10.99
RENT,40000,7.74
RENT,70000,7.9
RENT,37600,13.06
RENT,48000,11.99
RENT,30000,5.42
RENT,35000,11.11
MORTGAGE,44500,8.59
RENT,112200,11.66
RENT,32000,16.07
RENT,50000,
RENT,82000,20.11
MORTGAGE,59160,
RENT,50000,7.9
MORTGAGE,64000,6.91
MORTGAGE,83000,11.11
MORTGAGE,61000,9.99
RENT,105000,
MORTGAGE,100000,6.62
MORTGAGE,176000,14.42
MORTGAGE,55000,6.62
MORTGAGE,53000,
MORTGAGE,65000,7.51
RENT,67092,12.87
MORTGAGE,36000,7.49
MORTGAGE,127000,11.36
OWN,91000,8.59
RENT,60000,7.51
MORTGAGE,125000,5.79
OWN,24000,13.98
MORTGAGE,71000,6.99
MORTGAGE,219300,19.69
RENT,26237,13.22
OWN,74360,5.99
OWN,38000,11.58
RENT,40000,11.89
MORTGAGE,50000,9.99
RENT,70000,13.61
MORTGAGE,96000,5.42
MORTGAGE,70000,6.54
RENT,50000,7.49
RENT,62400,6.62
RENT,24000,15.62
MORTGAGE,83000,
MORTGAGE,59004,7.37
OWN,60000,14.84
RENT,42000,12.42
RENT,115000,6.54
RENT,69000,15.7
RENT,40000,16.77
RENT,53000,9.88
RENT,47900,7.51
MORTGAGE,60000,11.86
RENT,60000,7.66
MORTGAGE,40000,6.03
MORTGAGE,45000,13.98
RENT,85000,5.99
MORTGAGE,55000,
RENT,32000,7.49
MORTGAGE,41600,6.17
MORTGAGE,95000,13.72
MORTGAGE,80000,
RENT,36000,12.21
RENT,39000,10.25
RENT,20000,12.69
MORTGAGE,35000,5.42
OWN,105000,11.36
OWN,49000,12.18
RENT,60000,
RENT,62000,11.48
RENT,30000,19.42
MORTGAGE,32000,5.99
RENT,90000,8.88
RENT,19200,9.99
RENT,101000,17.58
RENT,200000,12.69
MORTGAGE,95200,5.99
MORTGAGE,60000,13.49
RENT,101000,7.9
RENT,80000,
RENT,19498,6.62
RENT,31000,16.77
MORTGAGE,68000,11.71
RENT,37500,10.37
RENT,52000,8.0
MORTGAGE,90000,
MORTGAGE,84996,9.32
MORTGAGE,90000,10.62
RENT,32004,
MORTGAGE,36500,9.33
MORTGAGE,26400,9.88
RENT,45000,12.99
MORTGAGE,48000,5.42
RENT,40000,6.91
RENT,65000,10.95
MORTGAGE,84000,11.11
MORTGAGE,25000,12.53
MORTGAGE,53004,11.86
MORTGAGE,66300,15.62
MORTGAGE,64049,12.69
MORTGAGE,131040,13.35
RENT,35000,13.48
MORTGAGE,235000,15.96
MORTGAGE,145000,
RENT,50400,16.02
RENT,40000,13.22
RENT,75000,13.47
MORTGAGE,103000,18.64
RENT,42564,10.75
MORTGAGE,40000,14.72
MORTGAGE,80000,11.36
RENT,45150,13.16
RENT,35000,12.21
RENT,24000,10.59
MORTGAGE,112548,
MORTGAGE,144000,6.62
OWN,63000,8.07
MORTGAGE,50004,13.11
RENT,50500,12.53
RENT,21600,12.53
MORTGAGE,120000,7.14
MORTGAGE,110000,10.0
MORTGAGE,100000,6.03
OWN,56784,14.96
RENT,48000,6.03
RENT,97356,13.22
RENT,53000,12.84
MORTGAGE,64000,7.66
RENT,89000,10.99
MORTGAGE,106000,9.63
MORTGAGE,120000,11.99
RENT,24000,11.86
MORTGAGE,60000,7.51
MORTGAGE,110000,8.94
RENT,85000,11.71
MORTGAGE,265000,14.96
MORTGAGE,126000,11.49
MORTGAGE,86000,16.49
RENT,49000,6.03
MORTGAGE,136092,13.61
RENT,66725,16.29
MORTGAGE,33400,7.66
RENT,70000,
MORTGAGE,100000,10.39
MORTGAGE,96000,13.72
RENT,32000,
RENT,38004,12.53
MORTGAGE,60000,16.63
MORTGAGE,135000,13.85
RENT,28000,12.84
RENT,37000,11.26
MORTGAGE,160000,13.49
RENT,26400,7.51
MORTGAGE,130000,
MORTGAGE,238000,14.09
OWN,42240,11.86
MORTGAGE,90000,8.32
RENT,120000,12.87
MORTGAGE,30000,11.78
MORTGAGE,57000,8.0
RENT,227500,12.53
MORTGAGE,54000,16.49
RENT,78500,
RENT,77000,18.25
MORTGAGE,84000,11.36
RENT,66920,14.26
RENT,30000,17.99
RENT,71400,12.61
MORTGAGE,39996,14.42
RENT,60000,11.71
RENT,50000,12.73
MORTGAGE,200000,8.59
RENT,27000,6.76
RENT,78504,11.41
MORTGAGE,45000,12.69
RENT,32004,8.32
RENT,20000,
MORTGAGE,120000,7.14
MORTGAGE,30000,7.9
MORTGAGE,80000,10.95
RENT,45000,14.65
RENT,60000,13.98
MORTGAGE,67000,
MORTGAGE,160000,10.75
MORTGAGE,76596,13.16
MORTGAGE,50000,
OWN,78000,12.18
MORTGAGE,126000,11.71
MORTGAGE,120000,7.49
MORTGAGE,45727,16.29
RENT,120000,12.69
MORTGAGE,44000,10.59
MORTGAGE,260000,10.37
RENT,69790,10.25
MORTGAGE,60000,6.92
RENT,21996,12.87
MORTGAGE,50000,12.42
RENT,49548,12.84
OWN,17640,16.29
RENT,56500,
RENT,148000,13.55
MORTGAGE,60000,10.99
MORTGAGE,85500,
MORTGAGE,54000,
RENT,59600,5.79
RENT,60000,8.49
MORTGAGE,31200,7.74
RENT,258000,18.64
RENT,55000,9.99
MORTGAGE,53408,10.99
MORTGAGE,57360,
MORTGAGE,59000,7.14
RENT,33000,14.79
MORTGAGE,50000,6.62
RENT,27996,11.58
MORTGAGE,73000,19.41
RENT,34000,10.95
RENT,72000,11.99
MORTGAGE,42000,5.79
MORTGAGE,66888,12.23
MORTGAGE,85000,11.99
MORTGAGE,146000,8.49
RENT,66000,15.62
RENT,46344,11.36
RENT,97000,10.37
RENT,63000,7.49
OWN,13500,9.63
RENT,50176,10.59
MORTGAGE,80300,12.73
RENT,53000,5.42
OWN,90000,7.51
RENT,75000,9.63
RENT,206000,
MORTGAGE,55000,10.99
MORTGAGE,120000,15.65
MORTGAGE,68000,10.0
MORTGAGE,65000,10.25
RENT,50000,7.29
MORTGAGE,78000,
MORTGAGE,91000,
RENT,33000,15.23
MORTGAGE,76248,7.66
RENT,42000,
MORTGAGE,85000,7.88
RENT,73200,8.9
MORTGAGE,60600,7.12
RENT,90000,7.49
RENT,40000,10.37
RENT,12000,12.68
RENT,30000,7.88
MORTGAGE,348000,11.83
MORTGAGE,81000,
RENT,70000,10.65
RENT,75000,14.74
RENT,36000,13.61
RENT,62532,13.49
RENT,82300,9.63
MORTGAGE,80000,8.0
MORTGAGE,44991,14.72
OWN,60000,12.18
MORTGAGE,92000,18.3
MORTGAGE,151000,11.97
MORTGAGE,115000,7.29
MORTGAGE,144000,8.49
MORTGAGE,73000,7.29
RENT,70000,7.75
MORTGAGE,35352,6.03
RENT,77385,7.66
OWN,135000,11.83
MORTGAGE,80000,12.69
RENT,52000,13.49
OWN,33000,15.31
RENT,27000,12.73
MORTGAGE,34000,7.49
RENT,70000,
MORTGAGE,180000,12.99
OWN,19200,
OWN,65000,13.35
MORTGAGE,74000,11.11
RENT,73000,
RENT,78000,12.87
RENT,73000,9.99
RENT,115000,
MORTGAGE,75000,10.75
RENT,20520,9.99
RENT,58000,13.99
RENT,62000,
OWN,55200,
MORTGAGE,82000,5.42
RENT,33288,12.09
RENT,74872,7.88
MORTGAGE,62400,5.42
RENT,40000,12.69
MORTGAGE,60000,12.42
MORTGAGE,60000,11.48
RENT,29120,10.75
RENT,30000,
MORTGAGE,51043,12.29
MORTGAGE,40000,6.99
RENT,70176,7.88
MORTGAGE,56000,12.29
MORTGAGE,105000,7.88
RENT,43000,13.8
RENT,16800,6.92
MORTGAGE,38000,9.76
RENT,66240,5.79
MORTGAGE,180000,6.62
MORTGAGE,66000,11.14
RENT,38000,12.42
MORTGAGE,45600,8.49
MORTGAGE,107364,6.76
MORTGAGE,67392,13.85
MORTGAGE,100000,8.59
RENT,29400,12.21
MORTGAGE,62500,11.36
RENT,49110,12.42
MORTGAGE,28800,10.59
RENT,37584,
MORTGAGE,65000,7.49
RENT,29000,13.06
MORTGAGE,30000,7.9
MORTGAGE,140000,10.38
RENT,84456,9.88
MORTGAGE,90000,13.61
MORTGAGE,39480,13.79
MORTGAGE,62000,7.51
RENT,29000,16.77
RENT,28320,14.61
MORTGAGE,118400,7.9
RENT,25000,7.51
RENT,55200,6.76
MORTGAGE,47004,13.61
RENT,85000,11.34
MORTGAGE,80000,7.4
MORTGAGE,90000,6.92
MORTGAGE,143004,6.99
MORTGAGE,50000,13.48
RENT,65000,13.99
RENT,51298,10.37
RENT,36000,6.91
RENT,54050,10.99
OWN,50000,7.49
MORTGAGE,60000,15.68
RENT,20000,13.11
RENT,32000,6.17
RENT,612000,12.73
RENT,110000,13.57
RENT,50000,10.71
MORTGAGE,81000,6.17
RENT,47700,7.14
RENT,24996,12.53
MORTGAGE,96000,7.49
RENT,45000,7.91
OWN,28000,11.99
MORTGAGE,115000,7.51
RENT,30000,11.86
MORTGAGE,72000,6.62
RENT,153000,8.7
RENT,57996,12.98
MORTGAGE,250000,14.59
RENT,40000,10.25
RENT,65000,7.9
MORTGAGE,61200,6.99
RENT,54000,14.46
RENT,47700,11.99
RENT,130000,
RENT,351699,15.7
RENT,34000,15.57
OWN,60000,13.98
RENT,48000,10.62
MORTGAGE,103363,
MORTGAGE,95000,11.14
OWN,96000,9.99
MORTGAGE,39000,5.99
RENT,75000,7.88
MORTGAGE,37000,10.36
MORTGAGE,77940,10.99
RENT,140000,6.03
RENT,47500,15.96
MORTGAGE,45000,7.49
RENT,50000,10.37
RENT,38000,5.79
RENT,90000,10.99
RENT,200000,10.62
MORTGAGE,120000,6.76
RENT,56000,10.65
OWN,10800,9.99
RENT,44000,13.48
MORTGAGE,92000,13.06
OWN,107800,14.65
OWN,250000,9.88
MORTGAGE,90080,7.49
MORTGAGE,120000,10.75
MORTGAGE,120000,16.07
RENT,39996,
RENT,68004,13.16
RENT,56000,8.9
MORTGAGE,35000,13.61
RENT,65000,
RENT,51372,6.39
RENT,95000,13.72
RENT,42000,8.88
RENT,25000,14.84
MORTGAGE,110004,
RENT,69996,10.65
RENT,30000,11.99
RENT,17280,12.36
RENT,33000,8.9
RENT,42000,
RENT,83196,
RENT,70000,11.48
MORTGAGE,31200,12.53
MORTGAGE,24000,7.14
MORTGAGE,36500,
RENT,30996,14.74
RENT,30000,5.42
MORTGAGE,31000,13.16
RENT,110000,9.91
RENT,30000,11.14
RENT,88000,6.91
RENT,33666,17.49
RENT,35000,11.49
RENT,40000,14.27
MORTGAGE,20500,6.76
RENT,35000,
RENT,25000,9.83
OWN,51000,7.49
MORTGAGE,54000,15.31
RENT,43200,7.49
MORTGAGE,62000,5.79
MORTGAGE,54000,12.61
RENT,30000,10.65
RENT,56000,18.25
RENT,39000,16.29
RENT,30372,14.74
MORTGAGE,44000,13.85
MORTGAGE,59450,10.38
MORTGAGE,138000,17.93
RENT,40000,14.96
MORTGAGE,100000,13.98
OWN,120000,14.09
MORTGAGE,120000,
MORTGAGE,125000,7.88
OWN,135000,6.91
RENT,135000,15.21
MORTGAGE,400000,6.03
RENT,75500,16.77
RENT,24960,5.42
MORTGAGE,136000,6.17
RENT,98850,
MORTGAGE,48000,5.42
